Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,
Comercio exterior,,,,,,,,,,,,,,,,,,,,,
Exportaciones FOB,,,,,,,,,,,,,,,,,,,,,
Unidad de medida: Millones de US dólares,,,,,,,,,,,,,,,,,,,,,
Fechas,Costa Rica,,,El Salvador,,,Guatemala,,,Honduras,,,Nicaragua,,,República Dominicana,,,Panamá,,
,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales
2012-Julio,694.26,287.15,407.12,524.79,92.77,432.02,783.5,255.7,527.8,383.41,--,383.41,414.99,186.51,228.49,785.6,463.4,322.2,1314.34,1231.63,82.71
2012-Agosto,703.23,289.9,413.33,452.79,105.33,347.46,829.9,271.6,558.3,406.56,--,406.56,405.2,201.63,203.57,733.5,429.5,304,1579.6,1495.88,83.72
2012-Setiembre,705.31,297.69,407.62,409.94,93.88,316.06,785.2,247.5,537.7,309.5,--,309.5,386.17,176.48,209.69,739,412.5,326.5,1278.41,1188.39,90.03
2012-Octubre,702.94,295.98,406.96,444.99,114.33,330.66,732.5,269,463.5,275.89,--,275.89,436.07,202.06,234.01,757,457.2,299.8,1636.04,1532.88,103.16
2012-Noviembre,729.08,304.32,424.77,416.76,101.5,315.26,808.3,254.9,553.4,249.7,--,249.7,398.32,199.16,199.16,876.3,439.5,436.8,1709.17,1623.93,85.24
2012-Diciembre,652.93,281,371.92,418.19,97.77,320.42,823.7,263.8,559.9,293.22,--,293.22,352.53,146.21,206.31,684.8,333.9,350.9,1195.65,1124.08,71.57
2013-Enero,678.69,279.81,398.88,478.83,77.13,401.7,828.2,246.4,581.8,379.57,--,379.57,395.01,173.36,221.65,676.9,330,346.9,1096.57,1015.97,80.61
2013-Febrero,718.98,297.65,421.33,434.41,90.15,344.26,796,226.8,569.2,358.44,--,358.44,355.48,166.65,188.83,719.4,384.7,334.7,1260.04,1185.13,74.91
2013-Marzo,792.14,302.04,490.1,448.95,96.56,352.39,982.1,271.6,710.5,381.34,--,381.34,393.54,171.46,222.08,814.4,414.7,399.7,1333.07,1251.06,82.01
2013-Abril,764.76,305.72,459.04,496.53,82.93,413.6,888.8,263.6,625.2,354.66,--,354.66,427.17,196.01,231.17,832.4,426.2,406.2,1263.68,1176.29,87.39
2013-Mayo,780.07,306.66,473.42,523.03,98.4,424.63,965.3,246.1,719.2,353.14,--,353.14,393.63,182.69,210.94,912.4,468.6,443.8,1415.22,1324.59,90.63
2013-Junio,700.6,305.84,394.76,455.83,100.03,355.8,808,253.8,554.2,319.99,--,319.99,390.82,192.7,198.12,774.9,425.3,349.6,1133.62,1055.5,78.11
2013-Julio,682.59,275.75,406.85,491.28,102.97,388.31,827.8,254.6,573.2,308.36,--,308.36,410.79,210.38,200.4,852.8,442.5,410.3,1527.3,1431.56,95.74
2013-Agosto,689.93,312.04,377.89,481.39,105.02,376.37,804.4,259,545.4,287.21,--,287.21,436.88,241.57,195.3,794.3,447.3,347,1277.28,1178.02,99.26
2013-Setiembre,699.08,307.21,391.86,426.59,82.81,343.78,731.8,253.4,478.4,289.96,--,289.96,400.01,212.94,187.07,730.5,421.3,309.2,1634.38,1543.98,90.4
2013-Octubre,738.4,313.64,424.76,452.55,91.82,360.73,767.1,256.7,510.4,269.32,--,269.32,442.44,235.83,206.61,829.9,457.5,372.4,1594.81,1499.49,95.32
2013-Noviembre,724.98,317.58,407.4,403.6,69.21,334.39,803,256.7,546.3,288.85,--,288.85,403.84,211.28,192.56,755.8,411.9,343.9,1369.25,1284.9,84.35
2013-Diciembre,677.41,269.37,408.04,426.31,135.09,291.22,825.7,280.4,545.3,338.54,--,338.54,344.75,163.28,181.46,730.7,346.4,384.3,858.81,785.67,73.15
2014-Enero,673.94,270.76,403.18,404.7,78.18,326.52,835.4,256.9,578.5,341.1,--,341.1,433.87,208.24,225.63,733.6,328.6,405,921.52,848.3,73.22
2014-Febrero,753.83,302.8,451.03,415.37,73.13,342.24,805.7,262.7,543,328.3,--,328.3,401.02,190.4,210.62,786.9,413.5,373.4,935.29,853.78,81.51
2014-Marzo,817.73,327.2,490.53,476.68,87.59,389.09,1036.3,319.9,716.4,358.8,--,358.8,472.88,210.2,262.68,859.1,448.9,410.2,969.6,877.98,91.62
2014-Abril,776.66,300.69,475.96,424.03,85.34,338.69,939.6,288,651.6,362.4,--,362.4,418.22,200.85,217.37,790.8,418.1,372.7,1335.11,1256.5,78.61
2014-Mayo,843.42,337.28,506.14,490.25,94.86,395.39,946.5,280.2,666.3,412.4,--,412.4,442.57,210.11,232.46,891.5,475.5,416,1107.01,1022.21,84.81
2014-Junio,792.82,341.39,451.43,471.69,97.09,374.6,891.3,271.3,620,389.5,--,389.5,461.51,221.17,240.34,855.7,445.5,410.2,1311.77,1209.12,102.65
2014-Julio,747.94,317.46,430.48,489.41,104.2,385.21,948.6,308.2,640.4,361.85,--,361.85,462.38,241.66,220.72,864.5,480.2,384.3,1409.09,1314.21,94.88
2014-Agosto,724.93,323.12,401.81,435.72,76.6,359.12,874,299.2,574.8,302.96,--,302.96,446.8,224.99,221.81,842.8,451.7,391.1,1161,1071.6,89.4
2014-Setiembre,735.23,324.67,410.57,435.23,90.84,344.39,883.5,290.8,592.7,284.86,--,284.86,435.12,221.84,213.28,838.7,452.2,386.5,1377.43,1288.82,88.6
2014-Octubre,773.71,351.27,422.45,427.11,76.17,350.94,883.3,297.3,586,300.3,--,300.3,438.14,237.55,200.59,870.3,492.7,377.6,1540.31,1450.19,90.12
2014-Noviembre,751.27,335.57,415.7,426.26,75.64,350.62,839.2,280.4,558.8,267.4,--,267.4,389.29,190.65,198.64,733.7,432,301.7,1071.56,1001.78,69.78
2014-Diciembre,744.37,326.31,418.06,405.08,75.93,329.15,920.1,326.1,594,362.7,--,362.7,393.93,167.24,226.68,831.3,422.8,408.5,846.02,767.62,78.39
2015-Enero,702.42,309.66,392.77,425.66,76.85,348.81,879.2,295.3,583.9,330.67,--,330.67,392.37,195.78,196.59,691.7,334.1,357.6,1097.18,1032.86,64.32
2015-Febrero,745.13,340.77,404.37,480.41,85.71,394.7,885.1,286.6,598.5,380.64,--,380.64,388.61,172.22,216.39,749.9,449.5,300.4,840.86,776.45,64.41
2015-Marzo,847.73,371.81,475.92,529.23,89.03,440.2,1005,343.5,661.5,441.79,--,441.79,470.88,212.25,258.63,824.2,488.4,335.8,1126.15,1037.41,88.74
2015-Abril,781.34,334.82,446.52,428.05,78.8,349.25,914.6,287.5,627.1,400.97,--,400.97,395.86,168.99,226.88,839.2,445.3,393.9,1035.16,966.14,69.02
2015-Mayo,846.74,380.48,466.27,499.2,97.68,401.52,997.8,280.3,717.5,375.77,--,375.77,409.95,186.67,223.27,818.8,482.2,336.6,944.65,862.4,82.25
2015-Junio,814.17,368.61,445.56,478.25,104.11,374.14,910.4,283.6,626.8,374.86,--,374.86,435.89,217.45,218.44,847.7,481.5,366.2,992.73,905.51,87.22
2015-Julio,760.1,360.77,399.33,541.15,112.2,428.95,965.2,316.7,648.5,309.26,--,309.26,448.61,235.26,213.34,883.1,499,384.1,1060.69,979.78,80.91
2015-Agosto,717.05,356.1,360.95,418.62,86.13,332.49,878.3,310.9,567.4,262.46,--,262.46,411.96,226.55,185.4,769.1,449,320.1,872.84,789.12,83.71
2015-Setiembre,705.98,356.59,349.4,442.47,89.5,352.97,814.6,280.4,534.2,245.4,--,245.4,392.76,224.62,168.13,820.3,479.9,340.4,1151.73,1073.58,78.15
2015-Octubre,778.25,382.2,396.06,474.12,100.63,373.49,825,300,525,265.7,--,265.7,436.33,251.88,184.45,785.2,483.4,301.8,1237.35,1152.36,84.98
2015-Noviembre,778.14,385.33,392.81,408.75,78.71,330.04,786.4,286.2,500.2,258.66,--,258.66,370.05,218.24,151.81,747.8,436,311.8,1005.7,942.59,63.11
2015-Diciembre,725.09,367.71,357.38,383.13,80.81,302.32,813.2,282.4,530.8,312.94,--,312.94,362.48,184.07,178.41,664.8,395.3,269.5,915.64,847.35,68.29
2016-Enero,708.74,323.11,385.63,410.62,78.27,332.35,833.8,268.8,565,604.34,280.05,324.29,371.03,214.17,156.86,623.1,337.3,285.8,678.85,620.29,58.56
2016-Febrero,842.67,394.42,448.25,417.09,84.43,332.66,842.2,278.1,564.1,696.78,341.94,354.84,409.45,219.39,190.06,806.5,467.7,338.8,728.8,667.3,61.5
2016-Marzo,842.12,389.35,452.77,471.42,87.1,384.32,938.7,304.6,634.1,658.14,304.48,353.66,413.46,205.75,207.71,824.8,456.1,368.7,935.09,873.52,61.57
2016-Abril,884.14,391.62,492.53,513.73,109.25,404.48,914.2,288.5,625.7,737.94,350.98,386.96,448.36,221.89,226.46,833.3,476.5,356.8,812.6,745.74,66.86
2016-Mayo,948.25,456.54,491.71,491.25,101.41,389.84,916.8,264.4,652.4,729.86,363.06,366.8,425.1,215.94,209.16,782.7,447.9,334.8,1191.43,1114.1,77.33
2016-Junio,836.92,421.15,415.77,462.56,96.23,366.33,897.6,275.7,621.9,739.69,379.27,360.42,403.18,219.85,183.33,873.6,495.4,378.2,999.9,932.35,67.54
2016-Julio,780.41,395.36,385.05,491.14,112.24,378.9,844.6,266.3,578.3,657.05,365.01,292.04,413.5,222.06,191.44,850.1,472.5,377.6,920.21,851.52,68.69
2016-Agosto,764.15,395.62,368.52,439.3,88.93,350.37,888.5,282.6,605.9,663.61,346.27,317.33,448.65,245.53,203.12,889.9,470,419.9,972.72,904.77,67.95
2016-Setiembre,827.15,437.88,389.28,444.94,95.44,349.5,835.5,266.1,569.4,578.01,329.05,248.96,397,229.21,167.79,878.9,496.1,382.8,1122.72,1053.88,68.84
2016-Octubre,818.85,425.12,393.73,441.93,86.9,355.03,709,226,483,582.95,321.03,261.92,401.8,224.64,177.17,865.7,450.3,415.4,1071.39,1010.47,60.92
2016-Noviembre,851.29,450.44,400.85,434.1,84.31,349.79,853.8,295.6,558.2,665.96,357.35,308.61,370.12,226.55,143.57,855.9,511.7,344.2,969.81,908.52,61.29
