Year,Year Label,Economy,Economy Label,Mode,Mode Label,Direction,Direction Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,US dollars at current prices per capita,US dollars at current prices per capita Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Fixed Capital Formation,Percentage of Gross Fixed Capital Formation Footnote
1990,1990,68,Bolivia (Plurinational State of),8,Flow,1,Inward,67,,9.442,,0.032701,,1.37645,,10.96034,
1990,1990,68,Bolivia (Plurinational State of),8,Flow,2,Outward,1.1,,0.155,,0.000451,,0.0226,,0.17995,
1990,1990,68,Bolivia (Plurinational State of),9,Stock,1,Inward,1025.7,,144.542,,0.046703,,21.07206,,167.79134,
1990,1990,68,Bolivia (Plurinational State of),9,Stock,2,Outward,7.1,,1.001,,0.000315,,0.14586,,1.16147,
1990,1990,72,Botswana,8,Flow,1,Inward,95.9,,71.489,,0.046806,,2.57707,,7.8294,
1990,1990,72,Botswana,8,Flow,2,Outward,7.364,,5.489,,0.003019,,0.19788,,0.60118,
1990,1990,72,Botswana,9,Stock,1,Inward,1309.3,,976.016,,0.059617,,35.18409,,106.89293,
1990,1990,72,Botswana,9,Stock,2,Outward,447.247,,333.4,,0.019834,,12.01863,,36.51386,
1990,1990,76,Brazil,8,Flow,1,Inward,988.8,,6.561,,0.482606,,0.24186,,1.08614,
1990,1990,76,Brazil,8,Flow,2,Outward,624.6,,4.144,,0.256115,,0.15278,,0.68609,
1990,1990,76,Brazil,9,Stock,1,Inward,37143.412,,246.462,,1.691256,,9.08545,,40.79992,
1990,1990,76,Brazil,9,Stock,2,Outward,41044.136,,272.345,,1.820217,,10.03958,,45.08464,
1990,1990,84,Belize,8,Flow,1,Inward,19,,104.059,,0.009273,,3.45807,,15.7727,
1990,1990,84,Belize,8,Flow,2,Outward,1.8,,9.858,,0.000738,,0.32761,,1.49426,
1990,1990,84,Belize,9,Stock,1,Inward,89.08,,487.872,,0.004056,,16.21289,,73.94913,
1990,1990,84,Belize,9,Stock,2,Outward,20,,109.536,,0.000887,,3.64007,,16.60284,
1990,1990,90,Solomon Islands,8,Flow,1,Inward,10.44,,32.205,,0.005095,,5.01625,,28.88457,
1990,1990,92,British Virgin Islands,8,Flow,1,Inward,18.35,,1175.002,,0.008956,,15.30602,,62.79734,
1990,1990,92,British Virgin Islands,8,Flow,2,Outward,-2519.592,,-161336.483,,-1.03315,,-2101.63069,,-8622.54282,
1990,1990,92,British Virgin Islands,9,Stock,1,Inward,125.92,,8063.008,,0.005734,,105.03183,,430.9232,
